ervaring,trainingtype,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
0,3x2000m,116.5,428.3,11,0,0
0,3x2000m,114.0,415.6,11,0,0
0,3x2000m,115.0,402.7,11,0,0
0,5x5',106.0,405.5,0,0,0
0,1',106.0,439.7,1001,0,0
0,5x5',111.3,415.4,0,0,0
0,3x7',116.8,415.6,11110,0,0
0,3x10',99.0,412.5,10000,0,0
0,2x2000m,108.5,419.3,1100,0,0
0,3x2000m,113.5,421.9,11,0,0
0,3x2000m,122.4,420.5,11,0,0
0,3x8',111.0,405.5,11111,0,0
0,5x5',119.9,449.0,0,0,0
0,5x5',110.7,415.6,0,0,0
0,3x7',121.1,428.3,11110,0,0
0,3x8',117.9,428.3,11111,0,0
0,3x2000m,118.9,428.3,11,0,0
0,3x2000m,118.2,420.5,11,0,0
0,57',134.9,420.5,11101,0,0
0,3x7',125.3,449.0,11110,0,0
0,3x8',112.2,405.5,11111,0,0
0,3x2000m,115.1,420.5,11,0,0
0,5x5',106.6,405.5,0,0,0
0,3x10',115.3,431.6,10000,0,0
0,3x10',116.4,419.3,10000,0,0
0,3x10',120.3,418.6,10000,0,0
0,3x7',123.6,449.0,11110,0,0
0,1',105.0,418.6,1001,0,0
0,3x10',119.9,432.4,10000,0,0
0,3x2000m,117.3,427.7,11,0,0
0,5x5',112.4,415.4,0,0,0
0,3x2000m,118.6,420.3,11,0,0
0,1',116.9,412.5,1001,0,0
0,3x10',122.4,431.6,10000,0,0
0,3x2000m,115.6,420.5,11,0,0
0,3x8',116.3,428.3,11111,0,0
0,3x10',118.8,431.6,10000,0,0
0,3x2000m,109.7,402.7,11,0,0
0,3x7',118.1,427.7,11110,0,0
0,3x2000m,120.4,402.7,11,0,0
0,3x10',114.0,420.8,10000,0,0
0,3x10',121.9,439.7,10000,0,0
0,2x2000m,106.2,419.3,1100,0,0
0,3x7',111.3,405.5,11110,0,0
0,3x7',112.5,428.3,11110,0,0
0,3x10',115.3,431.6,10000,0,0
0,3x8',122.2,420.5,11111,0,0
0,3x7',119.0,420.5,11110,0,0
0,1000m,106.2,427.1,10001,0,0
0,3x10',99.6,412.5,10000,0,0
0,3x7',113.8,415.6,11110,0,0
0,1000m+500m,104.9,428.3,10110,0,0
0,3x10',119.8,439.7,10000,0,0
0,2x2000m,107.6,419.3,1100,0,0
0,3x7',115.0,415.6,11110,0,0
0,3x10',120.0,432.4,10000,0,0
0,2x2000m,106.8,418.6,1100,0,0
0,3x10',123.3,432.4,10000,0,0
0,3x2000m,123.3,420.3,11,0,0
0,3x10',115.2,419.3,10000,0,0
0,3x8',117.6,415.6,11111,0,0
0,3x10',117.3,431.6,10000,0,0
0,3x10',112.2,431.6,10000,0,0
0,1500m+500m,98.8,411.4,10010,0,0
0,3x2000m,117.4,428.3,11,0,0
