ervaring,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
0.0,107.5,400.9,11,0,1
0.0,108.8,400.9,11,0,1
0.0,110.0,400.9,11,0,1
0.0,109.4,407.8,11,0,1
0.0,112.0,407.8,11,0,1
0.0,113.8,407.8,11,0,1
0.0,119.4,398.7,10,0,1
0.0,118.0,398.7,10,0,1
0.0,119.0,398.7,10,0,1
0.0,123.0,400.9,10,0,1
0.0,126.0,400.9,10,0,1
0.0,128.0,400.9,10,0,1
0.0,102.1,390.7,11,0,1
0.0,105.4,390.7,11,0,1
0.0,103.5,390.7,11,0,1
0.0,104.2,398.7,11,0,1
0.0,104.1,398.7,11,0,1
0.0,105.5,398.7,11,0,1
0.0,106.8,400.9,11,0,1
0.0,106.3,400.9,11,0,1
0.0,106.8,400.9,11,0,1
0.0,109.3,407.8,11,0,1
0.0,110.2,407.8,11,0,1
0.0,112.4,407.8,11,0,1
0.0,91.8,390.7,1001,0,1
0.0,94.1,390.7,1001,0,1
0.0,94.0,390.7,1001,0,1
0.0,95.8,400.9,1001,0,1
0.0,99.3,407.8,1001,0,1
0.0,102.9,407.8,1001,0,1
0.0,99.8,390.7,11,0,1
0.0,104.6,390.7,11,0,1
0.0,101.3,398.7,11,0,1
0.0,104.6,398.7,11,0,1
0.0,103.4,400.9,11,0,1
0.0,106.9,400.9,11,0,1
0.0,106.9,407.8,11,0,1
0.0,109.4,407.8,11,0,1
0.0,103.8,400.0,11,0,1
0.0,104.4,400.0,11,0,1
0.0,105.1,400.0,11,0,1
0.0,103.7,396.2,11,0,1
0.0,103.9,396.2,11,0,1
0.0,102.7,396.2,11,0,1
0.0,105.1,381.0,11,0,1
0.0,104.1,381.0,11,0,1
0.0,104.2,381.0,11,0,1
0.0,105.3,396.4,11,0,1
0.0,106.0,396.4,11,0,1
0.0,106.5,396.4,11,0,1
0.0,106.0,401.6,11,0,1
0.0,108.8,401.6,11,0,1
0.0,108.9,401.6,11,0,1
0.0,103.5,400.0,11,0,1
0.0,103.6,400.0,11,0,1
0.0,102.7,400.0,11,0,1
0.0,103.4,396.2,11,0,1
0.0,102.9,396.2,11,0,1
0.0,102.2,396.2,11,0,1
0.0,101.8,381.0,11,0,1
0.0,102.9,381.0,11,0,1
0.0,103.8,381.0,11,0,1
0.0,105.3,396.4,11,0,1
0.0,107.6,408.0,11,0,1
0.0,109.6,408.0,11,0,1
0.0,111.1,408.0,11,0,1
0.0,106.2,401.6,11,0,1
0.0,106.9,401.6,11,0,1
0.0,107.9,401.6,11,0,1
0.0,96.1,400.0,1001,0,1
0.0,99.1,400.0,1001,0,1
0.0,98.4,400.0,1001,0,1
0.0,93.0,396.2,1001,0,1
0.0,94.9,396.2,1001,0,1
0.0,94.1,396.2,1001,0,1
0.0,92.9,381.0,1001,0,1
0.0,93.7,381.0,1001,0,1
0.0,95.3,381.0,1001,0,1
0.0,96.8,396.4,1001,0,1
0.0,99.2,396.4,1001,0,1
0.0,100.7,396.4,1001,0,1
0.0,99.0,402.2,1001,0,1
0.0,102.8,402.2,1001,0,1
0.0,101.4,402.2,1001,0,1
0.0,96.8,404.3,1001,0,1
0.0,99.6,404.3,1001,0,1
0.0,100.1,404.3,1001,0,1
0.0,98.4,408.0,1001,0,1
0.0,100.8,408.0,1001,0,1
0.0,100.7,408.0,1001,0,1
0.0,97.6,401.6,1001,0,1
0.0,100.1,401.6,1001,0,1
0.0,100.3,401.6,1001,0,1
0.0,103.1,400.0,11,0,1
0.0,103.1,400.0,11,0,1
0.0,102.9,400.0,11,0,1
0.0,101.0,396.2,11,0,1
0.0,101.1,396.2,11,0,1
0.0,100.4,396.2,11,0,1
0.0,102.5,381.0,11,0,1
0.0,102.4,381.0,11,0,1
0.0,101.5,381.0,11,0,1
0.0,104.2,396.4,11,0,1
0.0,104.8,396.4,11,0,1
0.0,106.7,402.2,11,0,1
0.0,106.8,402.2,11,0,1
0.0,107.7,402.2,11,0,1
0.0,105.4,404.3,11,0,1
0.0,106.1,404.3,11,0,1
0.0,108.9,404.3,11,0,1
0.0,106.8,408.0,11,0,1
0.0,108.6,408.0,11,0,1
0.0,109.0,408.0,11,0,1
0.0,105.6,401.6,11,0,1
0.0,107.3,401.6,11,0,1
0.0,108.2,401.6,11,0,1
0.0,95.4,400.0,1001,0,1
0.0,96.6,400.0,1001,0,1
0.0,97.3,400.0,1001,0,1
0.0,92.7,381.0,1001,0,1
0.0,92.9,381.0,1001,0,1
0.0,94.1,381.0,1001,0,1
0.0,96.4,396.4,1001,0,1
0.0,97.7,396.4,1001,0,1
0.0,104.2,396.4,1001,0,1
0.0,98.1,404.3,1001,0,1
0.0,100.2,404.3,1001,0,1
0.0,107.0,404.3,1001,0,1
0.0,98.6,408.0,1001,0,1
0.0,100.1,408.0,1001,0,1
0.0,98.3,401.6,1001,0,1
0.0,102.1,401.6,1001,0,1
0.0,100.9,401.6,1001,0,1
0.0,101.5,400.0,1100,0,1
0.0,103.0,400.0,1100,0,1
0.0,97.7,381.0,1100,0,1
0.0,99.1,381.0,1100,0,1
0.0,101.8,396.4,1100,0,1
0.0,102.7,396.4,1100,0,1
0.0,103.4,404.3,1100,0,1
0.0,106.3,404.3,1100,0,1
0.0,105.2,408.0,1100,0,1
0.0,108.1,408.0,1100,0,1
0.0,104.0,401.6,1100,0,1
0.0,106.4,401.6,1100,0,1
0.0,96.7,400.0,111,0,1
0.0,94.5,381.0,111,0,1
0.0,97.7,396.4,111,0,1
0.0,100.4,402.2,111,0,1
0.0,98.7,404.3,111,0,1
0.0,100.0,408.0,111,0,1
0.0,99.3,401.6,111,0,1
0.0,98.6,400.0,110,0,1
0.0,95.1,381.0,110,0,1
0.0,100.4,396.4,110,0,1
0.0,100.9,402.2,110,0,1
0.0,101.5,404.3,110,0,1
0.0,103.9,408.0,110,0,1
0.0,103.1,401.6,110,0,1
0.0,104.5,381.0,1101,0,1
0.0,108.9,402.2,1101,0,1
0.0,109.0,404.3,1101,0,1
0.0,109.8,401.6,1101,0,1
0.0,109.3,400.0,1101,0,1
0.0,105.4,396.2,1101,0,1
0.0,103.8,381.0,1101,0,1
0.0,106.5,396.4,1101,0,1
0.0,109.3,404.3,1101,0,1
0.0,109.9,408.0,1101,0,1
0.0,106.8,396.2,1110,0,1
0.0,104.7,381.0,1110,0,1
0.0,108.8,396.4,1110,0,1
0.0,111.0,404.3,1110,0,1
0.0,111.4,408.0,1110,0,1
0.0,113.3,401.6,1110,0,1
0.0,106.3,396.2,1110,0,1
0.0,111.0,402.2,1110,0,1
0.0,110.1,404.3,1110,0,1
0.0,108.5,400.0,100,0,1
0.0,103.5,396.2,100,0,1
0.0,103.1,381.0,100,0,1
0.0,105.7,396.4,100,0,1
0.0,109.2,402.2,100,0,1
0.0,107.7,404.3,100,0,1
0.0,111.0,408.0,100,0,1
0.0,109.0,401.6,100,0,1
0.0,103.3,396.2,1111,0,1
0.0,105.6,396.4,1111,0,1
0.0,107.2,402.2,1111,0,1
0.0,107.7,404.3,1111,0,1
0.0,109.5,408.0,1111,0,1
0.0,106.9,401.6,1111,0,1
0.0,107.9,396.4,1101,0,1
0.0,106.4,402.2,1101,0,1
0.0,106.7,404.3,1101,0,1
0.0,109.0,408.0,1101,0,1
0.0,106.6,401.6,1101,0,1
0.0,101.9,396.2,1111,0,1
0.0,104.2,396.4,1111,0,1
0.0,106.8,402.2,1111,0,1
0.0,106.6,404.3,1111,0,1
0.0,107.7,408.0,1111,0,1
0.0,106.0,401.6,1111,0,1
0.0,102.8,396.2,10000,0,1
0.0,104.5,381.0,10000,0,1
0.0,105.6,396.4,10000,0,1
0.0,106.8,402.2,10000,0,1
0.0,108.9,404.3,10000,0,1
0.0,110.1,408.0,10000,0,1
0.0,109.1,401.6,10000,0,1
0.0,105.4,400.0,1111,0,1
0.0,101.1,396.2,1111,0,1
0.0,104.0,396.4,1111,0,1
0.0,108.9,408.0,1111,0,1
0.0,105.7,401.6,1111,0,1
0.0,115.1,421.0,11,0,1
0.0,117.3,421.0,11,0,1
0.0,118.2,421.0,11,0,1
0.0,111.0,407.2,11,0,1
0.0,111.2,407.2,11,0,1
0.0,113.0,407.2,11,0,1
0.0,107.3,410.6,11,0,1
0.0,110.2,410.6,11,0,1
0.0,113.0,410.6,11,0,1
0.0,116.0,399.6,11,0,1
0.0,118.0,399.6,11,0,1
0.0,113.2,399.6,11,0,1
0.0,111.0,412.3,11,0,1
0.0,112.2,412.3,11,0,1
0.0,111.5,412.3,11,0,1
0.0,109.5,421.0,11,0,1
0.0,116.2,421.0,11,0,1
0.0,116.2,421.0,11,0,1
0.0,109.2,401.2,11,0,1
0.0,110.5,401.2,11,0,1
0.0,111.0,401.2,11,0,1
0.0,106.3,407.2,11,0,1
0.0,112.0,407.2,11,0,1
0.0,113.0,407.2,11,0,1
0.0,108.5,410.6,11,0,1
0.0,112.0,410.6,11,0,1
0.0,110.2,410.6,11,0,1
0.0,107.0,399.6,11,0,1
0.0,113.0,399.6,11,0,1
0.0,111.0,399.6,11,0,1
0.0,107.0,412.3,11,0,1
0.0,110.3,412.3,11,0,1
0.0,111.0,412.3,11,0,1
0.0,107.2,421.0,11,0,1
0.0,112.5,421.0,11,0,1
0.0,115.2,421.0,11,0,1
0.0,106.5,401.2,11,0,1
0.0,108.5,401.2,11,0,1
0.0,109.2,401.2,11,0,1
0.0,106.2,407.2,11,0,1
0.0,114.0,407.2,11,0,1
0.0,107.3,409.9,11,0,1
0.0,110.2,409.9,11,0,1
0.0,105.2,412.3,11,0,1
0.0,112.3,412.3,11,0,1
0.0,110.0,412.3,11,0,1
0.0,104.1,421.0,11,0,1
0.0,105.0,407.2,11,0,1
0.0,111.1,407.2,11,0,1
0.0,113.0,407.2,11,0,1
0.0,104.1,410.6,11,0,1
0.0,110.1,410.6,11,0,1
0.0,109.1,410.6,11,0,1
0.0,104.1,409.9,11,0,1
0.0,103.1,412.3,11,0,1
0.0,90.0,421.0,111,0,1
0.0,100.0,421.0,111,0,1
0.0,108.0,421.0,111,0,1
0.0,110.0,421.0,111,0,1
0.0,108.0,421.0,111,0,1
0.0,109.0,421.0,111,0,1
0.0,94.0,401.2,111,0,1
0.0,95.0,401.2,111,0,1
0.0,101.0,401.2,111,0,1
0.0,101.0,401.2,111,0,1
0.0,103.0,401.2,111,0,1
0.0,100.0,401.2,111,0,1
0.0,95.0,407.2,111,0,1
0.0,95.0,407.2,111,0,1
0.0,95.0,407.2,111,0,1
0.0,100.0,407.2,111,0,1
0.0,100.0,407.2,111,0,1
0.0,100.0,407.2,111,0,1
0.0,93.0,410.6,111,0,1
0.0,98.0,410.6,111,0,1
0.0,102.0,410.6,111,0,1
0.0,106.0,410.6,111,0,1
0.0,108.0,410.6,111,0,1
0.0,104.0,410.6,111,0,1
0.0,94.0,409.9,111,0,1
0.0,95.0,409.9,111,0,1
0.0,106.0,409.9,111,0,1
0.0,104.0,409.9,111,0,1
0.0,114.0,409.9,111,0,1
0.0,102.0,409.9,111,0,1
0.0,95.0,412.3,111,0,1
0.0,95.0,412.3,111,0,1
0.0,100.0,412.3,111,0,1
0.0,100.0,412.3,111,0,1
0.0,100.0,412.3,111,0,1
0.0,98.0,401.2,10001,0,1
0.0,104.0,407.2,10001,0,1
0.0,114.5,410.6,10001,0,1
0.0,95.5,412.3,10001,0,1
0.0,98.6,421.0,10010,0,1
0.0,107.5,421.0,10010,0,1
0.0,99.2,401.2,10010,0,1
0.0,98.4,401.2,10010,0,1
0.0,100.4,407.2,10010,0,1
0.0,105.1,407.2,10010,0,1
0.0,100.4,410.6,10010,0,1
0.0,102.8,410.6,10010,0,1
0.0,101.4,409.9,10010,0,1
0.0,111.3,409.9,10010,0,1
0.0,102.4,399.6,10010,0,1
0.0,101.1,399.6,10010,0,1
0.0,90.6,412.3,10010,0,1
0.0,110.1,401.2,1111,0,1
0.0,109.8,401.2,1111,0,1
0.0,109.2,401.2,1111,0,1
0.0,107.9,401.2,1111,0,1
0.0,112.0,407.2,1111,0,1
0.0,111.9,407.2,1111,0,1
0.0,112.5,407.2,1111,0,1
0.0,110.9,407.2,1111,0,1
0.0,109.5,410.6,1111,0,1
0.0,109.9,410.6,1111,0,1
0.0,110.0,410.6,1111,0,1
0.0,110.3,410.6,1111,0,1
0.0,110.9,409.9,1111,0,1
0.0,111.3,409.9,1111,0,1
0.0,111.3,409.9,1111,0,1
0.0,111.1,409.9,1111,0,1
0.0,106.3,399.6,1111,0,1
0.0,110.1,399.6,1111,0,1
0.0,111.4,399.6,1111,0,1
0.0,110.3,412.3,1111,0,1
0.0,112.0,412.3,1111,0,1
0.0,114.0,412.3,1111,0,1
0.0,115.6,412.3,1111,0,1
0.0,108.0,421.0,1111,0,1
0.0,107.7,421.0,1111,0,1
0.0,110.8,421.0,1111,0,1
0.0,112.3,421.0,1111,0,1
0.0,107.6,401.2,1111,0,1
0.0,107.6,401.2,1111,0,1
0.0,107.4,401.2,1111,0,1
0.0,106.7,401.2,1111,0,1
0.0,109.7,407.2,1111,0,1
0.0,110.0,407.2,1111,0,1
0.0,112.8,407.2,1111,0,1
0.0,114.8,407.2,1111,0,1
0.0,107.4,410.6,1111,0,1
0.0,108.4,410.6,1111,0,1
0.0,109.0,410.6,1111,0,1
0.0,110.8,410.6,1111,0,1
0.0,109.5,409.9,1111,0,1
0.0,109.9,409.9,1111,0,1
0.0,110.7,409.9,1111,0,1
0.0,111.6,409.9,1111,0,1
0.0,107.7,399.6,1111,0,1
0.0,112.0,399.6,1111,0,1
0.0,112.8,399.6,1111,0,1
0.0,116.1,399.6,1111,0,1
0.0,111.2,412.3,1111,0,1
0.0,112.2,412.3,1111,0,1
0.0,113.7,412.3,1111,0,1
0.0,114.3,412.3,1111,0,1
0.0,108.4,421.0,1111,0,1
0.0,108.2,421.0,1111,0,1
0.0,108.9,421.0,1111,0,1
0.0,109.6,421.0,1111,0,1
0.0,109.0,407.2,1111,0,1
0.0,110.8,407.2,1111,0,1
0.0,111.7,407.2,1111,0,1
0.0,110.1,407.2,1111,0,1
0.0,109.5,409.9,1111,0,1
0.0,109.9,409.9,1111,0,1
0.0,110.7,409.9,1111,0,1
0.0,110.3,409.9,1111,0,1
0.0,106.0,401.2,1111,0,1
0.0,106.2,401.2,1111,0,1
0.0,107.0,407.2,1111,0,1
0.0,108.7,407.2,1111,0,1
0.0,114.1,407.2,1111,0,1
0.0,114.8,407.2,1111,0,1
0.0,107.1,410.6,1111,0,1
0.0,107.7,410.6,1111,0,1
0.0,107.5,410.6,1111,0,1
0.0,107.7,410.6,1111,0,1
0.0,107.9,409.9,1111,0,1
0.0,107.6,409.9,1111,0,1
0.0,109.1,409.9,1111,0,1
0.0,107.9,399.6,1111,0,1
0.0,108.3,399.6,1111,0,1
0.0,108.5,399.6,1111,0,1
0.0,108.7,399.6,1111,0,1
0.0,110.0,412.3,1111,0,1
0.0,112.1,412.3,1111,0,1
0.0,114.7,412.3,1111,0,1
0.0,115.5,412.3,1111,0,1
0.0,108.9,407.2,1111,0,1
0.0,108.8,407.2,1111,0,1
0.0,109.0,407.2,1111,0,1
0.0,111.0,407.2,1111,0,1
0.0,106.2,410.6,1111,0,1
0.0,107.2,410.6,1111,0,1
0.0,108.9,410.6,1111,0,1
0.0,108.6,410.6,1111,0,1
0.0,108.2,409.9,1111,0,1
0.0,108.4,409.9,1111,0,1
